Provincia,Codice,Comune,Denominazione,Dirigente,Tipo Incarico,Indirizzo,CAP,Telefono,Indirizzo posta elettronica,Indirizzo posta elettronica certificata,Coordinate,latitudine,longitudine
Lecce,LEEE00100C,LECCE,"1 C.D. ""C. BATTISTI""",RIELLI MARIA ROSARIA,EFFETTIVO,VIA A. COSTA 7,73100,832306016,leee00100c@istruzione.it,leee00100c@pec.istruzione.it,"('40.0263947', '18.1296866')",40.0263947,18.1296866
Lecce,LEEE00400X,LECCE,"4 C.D. ""S. CASTROMEDIANO""",FAGGIANO TIZIANA,EFFETTIVO,VIA CANTOBELLI,73100,832342937,leee00400x@istruzione.it,leee00400x@pec.istruzione.it,"('40.3412096', '18.1789135')",40.3412096,18.1789135
Lecce,LEEE00500Q,LECCE,"5 C.D. ""L. TEMPESTA""",BACCA TONINO,EFFETTIVO,VIA ARCHITA DA TARANTO,73100,832399113,leee00500q@istruzione.it,leee00500q@pec.istruzione.it,"('40.3662498', '18.1758629')",40.3662498,18.1758629
Lecce,LEEE081009,SURBO,"C.D. ""V. AMPOLO""",CAPONE MARIA TERESA,EFFETTIVO,"VIA MAZZINI,14",73010,8321778078,leee081009@istruzione.it,leee081009@pec.istruzione.it,"('40.3964531', '18.1326717')",40.3964531,18.1326717
Lecce,LEIC80000E,CAVALLINO,I.C. CAVALLINO,MARENACI CATERINA,EFFETTIVO,VIA TOGLIATTI,73020,832611036,leic80000e@istruzione.it,leic80000e@pec.istruzione.it,"('40.3127288', '18.1940611')",40.3127288,18.1940611
Lecce,LEIC803002,SALVE,I.C. SALVE,LATERZA VERONICA,EFFETTIVO,"VIA ROSENBERG, 4",73050,833740047,leic803002@istruzione.it,leic803002@pec.istruzione.it,"('39.8608472', '18.3020543')",39.8608472,18.3020543
Lecce,LEIC80400T,ALESSANO,I.C. ALESSANO,ACCOGLI SALVATORA,EFFETTIVO,VIA RIMEMBRANZE 2,73031,833781118,leic80400t@istruzione.it,leic80400t@pec.istruzione.it,"('39.8914259', '18.331007')",39.8914259,18.331007
Lecce,LEIC810005,ARADEO,I.C. ARADEO,CEZZA CARMELA,EFFETTIVO,"VIA TOGLIATTI, 31",73040,836315051,leic810005@istruzione.it,leic810005@pec.istruzione.it,"('40.1261812', '18.1256988')",40.1261812,18.1256988
Lecce,LEIC816004,CALIMERA,I.C. CALIMERA,LIGORI PIERA,EFFETTIVO,VIA UGO FOSCOLO N.1,73021,832875407,leic816004@istruzione.it,leic816004@pec.istruzione.it,"('40.2543523', '18.2755306')",40.2543523,18.2755306
Lecce,LEIC829006,MELENDUGNO,I.C. MELENDUGNO,CARATI ANNA RITA,EFFETTIVO,VIA  S. GIOVANNI N. 1,73026,832834021,leic829006@istruzione.it,leic829006@pec.istruzione.it,"('40.2758087', '18.3385775')",40.2758087,18.3385775
Lecce,LEIC831006,PORTO CESAREO,I.C. PORTO CESAREO,CASTELLANO ORNELLA,REGGENZA,VIA PICCINNI,73010,833569105,leic831006@istruzione.it,leic831006@pec.istruzione.it,"('40.2629318', '17.89504')",40.2629318,17.89504
Lecce,LEIC832002,LEVERANO,"I.C. ""DON LORENZO MILANI""",SAPONARO ANTONIO,EFFETTIVO,VIA DELLA  LIBERTA',73045,832925077,leic832002@istruzione.it,leic832002@pec.istruzione.it,"('40.2887429', '18.0058873')",40.2887429,18.0058873
Lecce,LEIC840001,MONTERONI DI LECCE,"I.C. ""VITTORIO BODINI""",NATALE ADDOLORATA,EFFETTIVO,VIA VETTA D'ITALIA,73047,832321010,leic840001@istruzione.it,leic840001@pec.istruzione.it,"('40.3177292', '18.0942688')",40.3177292,18.0942688
Lecce,LEIC84100R,MONTERONI DI LECCE,I.C. POLO 1 MONTERONI DI LECCE,SIGNORE LOREDANA,EFFETTIVO,"VIA GRAMSCI, 6",73047,832327084,leic84100r@istruzione.it,leic84100r@pec.istruzione.it,"('40.3292704', '18.10117385421625')",40.3292704,18.10117385421625
Lecce,LEIC84200L,NOVOLI,I.C. NOVOLI,DELL'ATTI ELISABETTA,EFFETTIVO,VIA DEI CADUTI 33,73051,832712132,leic84200l@istruzione.it,leic84200l@pec.istruzione.it,"('40.37928705', '18.051418568586087')",40.37928705,18.051418568586087
Lecce,LEIC84300C,UGGIANO LA CHIESA,I.C. UGGIANO LA CHIESA,GALLO PIETRO VINCENZO,EFFETTIVO,VIA   PERTINI   1,73020,836817370,leic84300c@istruzione.it,leic84300c@pec.istruzione.it,"('40.1047217', '18.4508477')",40.1047217,18.4508477
Lecce,LEIC84600X,PARABITA,I.C. PARABITA,PERRONE ANTONIA,EFFETTIVO,VIA ROMA 20,73052,833593305,leic84600x@istruzione.it,leic84600x@pec.istruzione.it,"('40.0478955', '18.1267904')",40.0478955,18.1267904
Lecce,LEIC85100B,SALICE SALENTINO,I.C. SALICE SALENTINO,SERRA MICHELE,EFFETTIVO,"VIA FONTANA,17",73015,832731007,leic85100b@istruzione.it,leic85100b@pec.istruzione.it,"('40.38639515', '17.960251893589717')",40.38639515,17.960251893589717
Lecce,LEIC853003,SAN CESARIO DI LECCE,I.C. SAN CESARIO DI LECCE,VERRIENTI ROSSELLA,EFFETTIVO,"VIA CERUNDOLO, 64",73016,832205333,leic853003@istruzione.it,leic853003@pec.istruzione.it,"('40.3072025', '18.1623042')",40.3072025,18.1623042
Lecce,LEIC85700A,RACALE,I.C. RACALE,MANZO STEFANIA,EFFETTIVO,"VIA PIEMONTE, 30",73055,833902372,leic85700a@istruzione.it,leic85700a@pec.istruzione.it,"('39.961254', '18.1014924')",39.961254,18.1014924
Lecce,LEIC860006,CASARANO,I.C. CASARANO POLO 2,CASCIONE LUISA,EFFETTIVO,"VIA MESSINA, 2",73042,833502884,leic860006@istruzione.it,leic860006@pec.istruzione.it,"('40.0141975', '18.1538231')",40.0141975,18.1538231
Lecce,LEIC861002,CASARANO,"I.C. CASARANO POLO3 G. GALILEI""",PRIMICERI RITA AUGUSTA,EFFETTIVO,P.ZZA S. DOMENICO,73042,833514494,leic861002@istruzione.it,leic861002@pec.istruzione.it,"('40.0102818', '18.160111315856987')",40.0102818,18.160111315856987
Lecce,LEIC86400D,COPERTINO,"I.C. ""G. FALCONE""",CASTELLANO ORNELLA,EFFETTIVO,"VIA REGINA ISABELLA, S.N.C.",73043,832947120,leic86400d@istruzione.it,leic86400d@pec.istruzione.it,"('40.2650988', '18.043994')",40.2650988,18.043994
Lecce,LEIC865009,COPERTINO,"I.C. ""SAN GIUSEPPE DA COPERTINO",GIURI ELEONORA,EFFETTIVO,"VIA MOGADISCIO, N. 45",73043,832947164,leic865009@istruzione.it,leic865009@pec.istruzione.it,"('40.2754835', '18.0470851')",40.2754835,18.0470851
Lecce,LEIC867001,COPERTINO,I.C. COPERTINO POLO 1,SELVAROLO ANGELA,EFFETTIVO,VIA G. COLACI 65,73043,832947311,leic867001@istruzione.it,leic867001@pec.istruzione.it,"('40.2709623', '18.0499786')",40.2709623,18.0499786
Lecce,LEIC86800R,TREPUZZI,I.C. TREPUZZI POLO 2,VALZANO ANNA MARIA,REGGENZA,VIALE EUROPA,73019,832760243,leic86800r@istruzione.it,leic86800r@pec.istruzione.it,"('40.3994451', '18.0786376')",40.3994451,18.0786376
Lecce,LEIC87000R,SQUINZANO,I.C. SQUINZANO,DE SIMONE LOREDANA,EFFETTIVO,"VIA        BRINDISI , 7",73018,832785213,leic87000r@istruzione.it,leic87000r@pec.istruzione.it,"('40.4366621', '18.0393556')",40.4366621,18.0393556
Lecce,LEIC87500X,TRICASE,I.C. TRICASE VIA APULIA,MARIANO ORONZA,EFFETTIVO,VIA APULIA 2,73039,833544236,leic87500x@istruzione.it,leic87500x@pec.istruzione.it,"('39.9352664', '18.3541064')",39.9352664,18.3541064
Lecce,LEIC87700G,GALLIPOLI,I.C. GALLIPOLI POLO 3,BIONDO MARTINELLA,EFFETTIVO,"VIA GORIZIA, 14",73014,833202203,leic87700g@istruzione.it,leic87700g@pec.istruzione.it,"('40.0566048', '17.9955413')",40.0566048,17.9955413
Lecce,LEIC881007,CORSANO,"I.C. ""BIAGIO ANTONAZZO""",SIMONE FERNANDO,EFFETTIVO,VIA DELLA LIBERTA',73033,833531912,leic881007@istruzione.it,leic881007@pec.istruzione.it,"('39.8902113', '18.3710924')",39.8902113,18.3710924
Lecce,LEIC887006,GALATINA,I.C. GALATINA POLO 1,ANTONICA ANNA,EFFETTIVO,"P.ZZA CESARI, 14",73013,836566035,leic887006@istruzione.it,leic887006@pec.istruzione.it,"('40.1731798', '18.1667081')",40.1731798,18.1667081
Lecce,LEIC888002,GALATINA,I.C. GALATINA POLO 2,LONGO ELEONORA,REGGENZA,VIA ARNO,73013,836562998,leic888002@istruzione.it,leic888002@pec.istruzione.it,"('40.1679329', '18.1598344')",40.1679329,18.1598344
Lecce,LEIC88900T,TAURISANO,I.C. TAURISANO POLO 1,BAGLIVO MARIA ABBONDANZA,EFFETTIVO,"VIA ADDIS ABEBA, SNC.",73056,833621517,leic88900t@istruzione.it,leic88900t@pec.istruzione.it,"('39.9547411', '18.2093381')",39.9547411,18.2093381
Lecce,LEIC89100T,LECCE,"I.C. ""AMMIRATO - FALCONE""",MORENA BRUNA,EFFETTIVO,"VIA RAFFAELLO SANZIO, 41",73100,832345717,leic89100t@istruzione.it,leic89100t@pec.istruzione.it,"('40.3380151', '18.1764765')",40.3380151,18.1764765
Lecce,LEIC894009,GALATONE,I.C. GALATONE POLO 1,POLO ADELE,EFFETTIVO,VIA XX SETTEMBRE 229,73044,833863101,leic894009@istruzione.it,leic894009@pec.istruzione.it,"('40.1486267', '18.0698628')",40.1486267,18.0698628
Lecce,LEIC895005,GALATONE,I.C. GALATONE POLO 2,CAPUTI ANTONIO,EFFETTIVO,VIA TUNISI N.31,73044,833865187,leic895005@istruzione.it,leic895005@pec.istruzione.it,"('40.1452721', '18.0744135')",40.1452721,18.0744135
Lecce,LEIC89800L,NARDO',"I.C. POLO 3 ""PANTALEO INGUSCI""",LONGO ELEONORA,EFFETTIVO,VIA XX SETTEMBRE,73048,833871017,leic89800l@istruzione.it,leic89800l@pec.istruzione.it,"('40.1807723', '18.0345504')",40.1807723,18.0345504
Lecce,LEIC89900C,SURBO,"I.C. ""ELISA SPRINGER""",INGROSSO LAURA,EFFETTIVO,"VIA TOSCANINI,1",73010,8321778082,leic89900c@istruzione.it,leic89900c@pec.istruzione.it,"('40.3991916', '18.1321327')",40.3991916,18.1321327
Lecce,LEIC8AB00R,UGENTO,I.C. UGENTO,MANCO ROBERTA,EFFETTIVO,VIA GOLDONI,73059,833555502,leic8ab00r@istruzione.it,leic8ab00r@pec.istruzione.it,"('39.9303051', '18.1659137')",39.9303051,18.1659137
Lecce,LEIC8AF004,VEGLIE,"I.C. ""PEPPINO IMPASTATO""",SAVOIA DANIELA,EFFETTIVO,VIA CASA SAVOIA,73010,832969141,leic8af004@istruzione.it,leic8af004@pec.istruzione.it,"('40.3369109', '17.9718401')",40.3369109,17.9718401
Lecce,LEIC8AG00X,VEGLIE,I.C. VEGLIE POLO 2,SAVOIA DANIELA,REGGENZA,VIA GARIBALDI,73010,832967371,leic8ag00x@istruzione.it,leic8ag00x@pec.istruzione.it,"('40.3335792', '17.9690006')",40.3335792,17.9690006
Lecce,LEIC8AK00R,TRICASE,"I.C. ""G. PASCOLI""",TURCO ANNA MARIA,EFFETTIVO,VIA UMBERTO I 107,73039,833544046,leic8ak00r@istruzione.it,leic8ak00r@pec.istruzione.it,"('39.9347318', '18.3556045')",39.9347318,18.3556045
Lecce,LEIC8AL00L,ALEZIO,I.C. ALEZIO,STIFANELLI SABRINA,EFFETTIVO,"VIA DANTE ALIGHIERI, 1",73011,833281042,leic8al00l@istruzione.it,leic8al00l@pec.istruzione.it,"('40.0632409', '18.0630742')",40.0632409,18.0630742
Lecce,LEIC8AN008,PRESICCE-ACQUARICA,I.C. PRESICCE-ACQUARICA DEL CAP,DE MARINI ROSARIA,EFFETTIVO,VIA TOMMASO FIORE,73054,833726136,leic8an008@istruzione.it,leic8an008@pec.istruzione.it,"('39.9073999', '18.2523383')",39.9073999,18.2523383
Lecce,LEIC8AQ00Q,MAGLIE,IC PRINCIPE DI PIEMONTE -MAGLIE,COLELLA MARIA STELLA,EFFETTIVO,VIA MATTEOTTI,73024,836483185,leic8aq00q@istruzione.it,leic8aq00q@pec.istruzione.it,"('40.1245595', '18.2999194')",40.1245595,18.2999194
Lecce,LEIS00100E,LECCE,"I.I.S.S. ""PRESTA - COLUMELLA""",FASANO SALVATORE,EFFETTIVO,VIA SAN PIETRO IN LAMA,73100,832359812,leis00100e@istruzione.it,leis00100e@pec.istruzione.it,"('40.3406184', '18.1548237')",40.3406184,18.1548237
Lecce,LEIS003006,ALESSANO,"I.T. ""GAETANO SALVEMINI""",VANTAGGIATO CHIARA FLORINDA,EFFETTIVO,VIA        TAGLIAMENTO,73031,833781027,leis003006@istruzione.it,leis003006@pec.istruzione.it,"('39.883733', '18.3348531')",39.883733,18.3348531
Lecce,LEIS00600N,CASARANO,"I.I.S.S. ""ANTONIO MEUCCI""",AMANTI CONCETTA,EFFETTIVO,VIALE FRANCESCO FERRARI,73042,833504009,leis00600n@istruzione.it,leis00600n@pec.istruzione.it,"('40.0171233', '18.1657271')",40.0171233,18.1657271
Lecce,LEIS011005,CASARANO,"LICEO ""RITA LEVI MONTALCINI""",CASARANO MONIA,EFFETTIVO,"VIA RUFFANO, 65",73042,833505051,leis011005@istruzione.it,leis011005@pec.istruzione.it,"('40.0115917', '18.17672')",40.0115917,18.17672
Lecce,LEIS012001,GALLIPOLI,"LICEO ""QUINTO ENNIO""",ERRICO ANTONIO,EFFETTIVO,"CORSO ROMA, 100",73014,833266165,leis012001@istruzione.it,leis012001@pec.istruzione.it,"('40.0559405', '17.9928675')",40.0559405,17.9928675
Lecce,LEIS01300R,NARDO',LICEO GALILEI(CLASS-SCIENT-LSU)-NARDO,FRACELLA EMILIA,EFFETTIVO,"VIA XX SETTEMBRE, 65",73048,833570542,leis01300r@istruzione.it,leis01300r@pec.istruzione.it,"('40.1807723', '18.0345504')",40.1807723,18.0345504
Lecce,LEIS01400L,TRICASE,"LICEO ""G. STAMPACCHIA""  - TRICASE",POLIMENO MAURO VITALE,EFFETTIVO,PIAZZA GALILEO GALILEI,73039,833544020,leis01400l@istruzione.it,leis01400l@pec.istruzione.it,"('39.9232214', '18.3657012')",39.9232214,18.3657012
Lecce,LEIS016008,TRICASE,IISS DON TONINO BELLO,MANCA ANNA LENA,EFFETTIVO,VIA APULIA,73039,833544246,leis016008@istruzione.it,leis016008@pec.istruzione.it,"('39.93042', '18.355332')",39.92042,18.365332
Lecce,LEIS017004,CASARANO,I.I.S.S. F. BOTTAZZI CASARANO,NEGRO SALVATORE,EFFETTIVO,VIA        NAPOLI 2,73042,833502392,leis017004@istruzione.it,leis017004@pec.istruzione.it,"('40.0127521', '18.1538842')",40.0127521,18.1538842
Lecce,LEIS02100Q,MAGLIE,"I.I.S.S. ""E. LANOCE""",CASARANO GIOVANNI,EFFETTIVO,VIA        GIANNOTTA 34,73024,836423313,leis02100q@istruzione.it,leis02100q@pec.istruzione.it,"('40.1229796', '18.2978337')",40.1229796,18.2978337
Lecce,LEIS02600V,NARDO',I.I.S.S. VANONI-NARDO',DESTRADIS ANGELO ANTONIO,EFFETTIVO,VIA     B. ACQUAVIVA 8,73048,833871062,leis02600v@istruzione.it,leis02600v@pec.istruzione.it,"('40.1837567', '18.0320321')",40.1837567,18.0320321
Lecce,LEIS03100A,LECCE,I.I.S.S.  A. DE PACE,MADARO METRANGOLO SILVIA,EFFETTIVO,VIALE      MARCHE 13,73100,832345008,leis03100a@istruzione.it,leis03100a@pec.istruzione.it,"('40.3461826', '18.1710538')",40.3461826,18.1710538
Lecce,LEIS033002,PARABITA,"I.I.S.S.""GIANNELLI""-PARABITA",PREITE COSIMO,EFFETTIVO,VIA        FIUME,73052,833593021,leis033002@istruzione.it,leis033002@pec.istruzione.it,"('40.0471442', '18.123129')",40.0471442,18.123129
Lecce,LEIS03400T,LECCE,"I.I.S.S. ""E. FERMI""",RUSSO GIUSEPPE,EFFETTIVO,VIA        MERINE 5,73100,832236311,leis03400t@istruzione.it,leis03400t@pec.istruzione.it,"('40.3478392', '18.1847044')",40.3478392,18.1847044
Lecce,LEIS037009,GALATONE,"I.I.S.S. ""ENRICO MEDI"" - GALATONE",VENNERI ANGELA,EFFETTIVO,"VIA SCORRANO, 6",73044,833865632,leis037009@istruzione.it,leis037009@pec.istruzione.it,"('40.14513375', '18.07567377683899')",40.14513375,18.07567377683899
Lecce,LEIS038005,MAGLIE,"I. I. S. S.  ""E. MATTEI""",MAGGIO MARIA,EFFETTIVO,"VIA N. FERRAMOSCA, 82",73024,836483120,leis038005@istruzione.it,leis038005@pec.istruzione.it,"('40.122206649999995', '18.293749852993145')",40.122206649999995,18.293749852993145
Lecce,LEIS039001,COPERTINO,I.I.S.S. BACHELET COPERTINO,CHEZZA ANNA MARINELLA,REGGENZA,VIA F. VERDESCA,73043,832933287,leis039001@istruzione.it,leis039001@pec.istruzione.it,"('40.2732725', '18.042924')",40.2732725,18.042924
Lecce,LEIS04200R,LECCE,"I.I.S.S.""GALILEI COSTA SCARAMBONE """,MAZZOTTA ADDOLORATA,EFFETTIVO,PIAZZA PALIO,73100,832397005,leis04200r@istruzione.it,leis04200r@pec.istruzione.it,"('40.3613152', '18.1926779')",40.3613152,18.1926779
Lecce,LEIS04400C,LECCE,"I.I.S.S.  ""F. CALASSO""",VERNALEONE ANNA MARIA,EFFETTIVO,VIA BELICE,73100,832394295,leis04400c@istruzione.it,leis04400c@pec.istruzione.it,"('40.3687858', '18.1721225')",40.3687858,18.1721225
